,Sludinājumi 	datums,Sludinājumi 	datums.1,Sludinājumi 	datums.2,Iela,Ist.,m2,Stāvs,Sērija,"Cena, m2",Cena
10,,,"Īpašnieks pārdod 3-istabu dzīvokli renovētā ēkā, Miera ielā 105.",Miera 105,3,82,3/6,Renov.,"2,073 €","170,000 €"
11,,,Īpašnieks pārdod saulainu dzīvokli ar lieliem logiem un parketa,Laboratorijas 4,2,54,2/5,Renov.,"1,638 €","88,450 €"
12,,,Attīstītājs pārdod fasādes mājas dzīvokli ar skatu uz kluso Labo,Laboratorijas 4,3,58,2/5,Renov.,"1,465 €","84,950 €"
13,,,"Īpašnieks pardod mājīgu, gaišu un klusu 3 istabu dzīvokli (133m2",Čaka 59,3,133,5/5,P. kara,"1,556 €","207,000 €"
14,,,Kapitāli un kvalitatīvi izremontēts trīsistabu dzīvoklis Katrīna,Katrīnas d. 24 - K..,3,67,1/2,Staļina,"1,470 €","98,500 €"
15,,,"Lv Īpašnieks pārdod gaišu dzīvokli renovēta mājā Rīgas centrā,",Čaka 33,2,50,4/7,Renov.,"2,820 €","141,000 €"
16,,,"Pārdošanā skaists, gaišs, plašs 2 istabus dzīvoklis ar atsevišķu",Avotu 22,2,63,3/5,P. kara,"1,857 €","117,000 €"
17,,,Pārdod gaišu 2-istabu dzīvokli 60 kv. m. platībā: - virtuve ar,Brīvības 159,2,59,6/6,P. kara,"1,508 €","89,000 €"
18,,,"Pārdodu svaigi remontētu, mūsdienu prasībām atbilstošu dzīvokli",Mūrnieku 14,1,28,1/2,Renov.,"1,750 €","49,000 €"
19,,,"Īpašnieks pārdod nelielu, ērtu studio tipa dzīvokli klusajā cent",Lejas 7b,1,18,2/2,P. kara,"1,250 €","22,500 €"
20,,,"Tikko izremontēts, neviens nav dzīvojis. Plašs, silts vienistaba",Lugažu 13,1,30,1/3,P. kara,733 €,"22,000 €"
21,,,Saimnieks pārdod īpašumā plašu divistabas dzīvokli. zemesgrāmata,Jēzusbaznīcas 7,2,55,2/2,P. kara,580 €,"31,900 €"
22,,,"Īpašnieks pārdod dzīvokli ""Klusajā cedntrā"". Dzīvoklis ir izremo",Katrīnas d. 22,2,50,4/4,P. kara,"1,600 €","80,000 €"
23,,,"Lv Pārdodas 2 istabu dzīvoklis Centra, Tērbatas iela 86A, a",Tērbatas 86А,2,58,1/6,P. kara,"1,293 €","75,000 €"
24,,,Plašs un gaišs 3 istabu dzīvoklis pašā Rīgas sirdī pilnībā renov,Birznieka-Upīša 10,3,75,5/5,Renov.,"2,932 €","219,900 €"
25,,,Attīstītājs pārdod studio tipa 1-istabu dzīvokli. Dzīvoklis Nr,Krāsotāju 13,1,25,1/5,Renov.,"1,536 €","38,400 €"
26,,,Attīstītājs pārdod plašu 3-istabu dzīvokli blakus Ziedoņdārzam.,Krāsotāju 13,3,67,1/5,Renov.,"1,394 €","93,380 €"
27,,,"Jaunais projekts , Lilien” , kura nosaukums radies pateicoties i",Laboratorijas 5,3,73,1/5,Jaun.,"2,326 €","169,800 €"
28,,,Īpašniece pārdod 2020.gadā renovētu dzīvokli pirmskara mājā. D,Pērnavas 37A,1,24,4/6,P. kara,"1,592 €","38,200 €"
29,,,Dzīvoklis kā investīcijas objekts vai lieliska vieta dzīvošanai.,Maskavas 55,1,37,4/5,P. kara,"1,811 €","67,000 €"
